Date,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am wind direction,9am wind speed (km/h),3pm Temperature (°C),3pm relative humidity (%),3pm wind direction,3pm wind speed (km/h)
20/11/2019,18.1,29.4,0,SSW,48,23:02,20.8,58,SSE,17,28.5,38,ENE,22
21/11/2019,16.6,36.6,0,E,31,16:36,21.5,67,N,4,34.6,19,N,15
22/11/2019,21.3,39.3,0,NNW,52,9:20,31,28,NW,22,33.2,38,ESE,35
23/11/2019,17.7,28.4,2.6,SSE,44,19:56,20.8,77,S,6,27,55,E,20
24/11/2019,18.5,26.1,4.6,ENE,30,16:06,19,76,S,15,24.5,57,ESE,11
25/11/2019,16.8,,0,WSW,54,16:30,21.8,71,W,7,33.4,28,NNW,24
26/11/2019,16.7,,0,NW,80,13:57,27.6,42,NNW,15,33.5,23,NW,43
27/11/2019,12.8,28.3,2.4,ESE,39,16:58,18.1,32,SSW,9,26.9,15,SE,11
28/11/2019,10.8,33.9,0,ESE,48,16:58,19.4,56,NW,6,32.1,12,WNW,9
29/11/2019,17.6,36.1,0,NW,48,15:02,20.5,73,S,9,34.9,18,NNW,17
30/11/2019,20.3,38,0,E,70,12:54,31.3,19,NW,20,22.1,65,ESE,24
1/12/2019,16.4,31.6,3,WNW,59,16:48,18.1,79,E,7,30.6,10,NNW,33
2/12/2019,17.9,22.7,0,W,78,14:18,18.5,44,WNW,30,20.5,38,WNW,39
3/12/2019,13.4,30.1,0,NNW,61,13:15,18.9,35,NW,22,28.4,16,NNW,37
4/12/2019,16.4,33.4,0,NNW,65,13:32,22.7,29,NW,24,31.5,8,W,24
5/12/2019,16.3,34.7,0,NNW,50,12:33,23.4,23,NW,19,33.5,9,W,22
6/12/2019,19.1,35.2,0,NW,57,12:02,24.8,31,NNE,6,31.9,13,SW,15
7/12/2019,16.5,31,0,ESE,41,17:23,22,60,NE,6,29.7,21,N,11
8/12/2019,17.9,31.5,0,ESE,48,16:00,22.9,58,E,19,30.3,38,ESE,24
9/12/2019,18.1,35.3,0,ESE,44,17:11,22.2,69,E,7,32.6,32,NNE,11
10/12/2019,18.3,40.8,0,NW,44,9:17,26.4,58,W,6,40.1,10,N,17
11/12/2019,18.2,30.2,0,E,46,16:37,20.6,62,SSW,6,28.6,40,E,24
12/12/2019,17.7,27.2,0,SE,48,16:54,18.2,76,S,6,27,44,ENE,19
13/12/2019,16.5,26.3,0,ESE,33,18:27,18.6,72,E,11,25.1,45,ESE,15
14/12/2019,18.5,33.1,0,ESE,52,17:26,22.5,62,SW,4,32.1,23,NNW,13
15/12/2019,18.6,35.5,0,NNW,39,16:16,23.8,63,NW,2,32.5,25,WNW,13
16/12/2019,21.2,27.7,0,ESE,50,14:35,24.6,52,E,13,25.2,47,ESE,31
17/12/2019,15.2,29.6,0,ESE,43,12:53,21.3,49,E,11,27.9,35,ESE,26
18/12/2019,14.1,34,0,E,33,14:38,21.4,59,SSE,4,32.5,20,NE,9
19/12/2019,18.6,39.7,0,S,46,18:42,25.9,45,NW,6,39.2,10,NW,15
20/12/2019,16.8,32.2,0,ENE,46,13:14,23.5,59,SE,9,30.7,37,E,28
21/12/2019,16.9,,0,S,61,20:16,22.4,73,SSW,6,,,NW,11
22/12/2019,19.6,24.5,0,ESE,35,12:21,21,50,SE,15,22,54,ESE,22
23/12/2019,16.7,23.7,0,ESE,30,17:39,18.2,73,SW,6,22.1,66,ESE,15
24/12/2019,18.2,30.9,0,ESE,48,14:10,23.5,84,ESE,13,28.9,53,ESE,31
25/12/2019,20.3,31.3,0.2,E,46,15:36,23.4,72,ESE,13,29.6,39,ENE,22
26/12/2019,18.4,,0,E,50,17:06,23.4,65,ENE,9,,,ESE,17
27/12/2019,17.3,35,0,ESE,44,15:00,23.6,57,ESE,9,34.6,17,ESE,15
28/12/2019,16.4,39,0,ESE,37,18:03,22.3,61,S,4,37.3,10,ENE,11
29/12/2019,18.1,42,0,ESE,35,17:58,25.1,54,NE,4,40.6,9,ENE,11
30/12/2019,19.9,41.4,0,NNW,30,12:58,24.7,55,E,4,40.1,9,NNE,11
31/12/2019,23.5,42.2,0,SSW,44,22:29,32.3,20,NW,31,41.3,10,NNW,24
1/1/2020,19.2,36.3,0,ESE,57,16:10,22.7,57,NE,6,35.2,30,E,26
2/1/2020,20.6,30.2,0,ESE,43,16:07,21,75,SSE,9,28.7,51,E,20
3/1/2020,20.9,38.2,0,ESE,39,17:37,24.4,72,E,7,36.3,33,E,13
